input_prompt,enhanced_prompt
a wizard in cybernetic lab,"(wizard:1.25) in cybernetic lab, Steampunk style, dramatic shadows, masterpiece quality, unreal engine 5"
a cyberpunk girl in mountain temple,"(cyberpunk girl:1.25) in mountain temple, Dark Fantasy style, vibrant colors, sharp focus, intricate textures"
a explorer in mountain temple,"(explorer:1.25) in mountain temple, Dark Fantasy style, vibrant colors, sharp focus, muted tones, ray traced, octane render"
a angel in desert oasis,"(angel:1.25) in desert oasis, Cinematic style, 8k resolution, soft bokeh, octane render"
a mechanic in mountain temple,"(mechanic:1.25) in mountain temple, Steampunk style, muted tones, masterpiece quality, octane render, unreal engine 5, vibrant colors"
a explorer in mars base,"(explorer:1.25) in mars base, Anime style, octane render, hyper detailed, muted tones, 8k resolution"
a nomad in cybernetic lab,"(nomad:1.25) in cybernetic lab, Minimalist style, 8k resolution, sharp focus, muted tones"
a wizard in dreamscape,"(wizard:1.25) in dreamscape, Steampunk style, dramatic shadows, hyper detailed, volumetric lighting"
a scientist in deep forest,"(scientist:1.25) in deep forest, Cinematic style, 8k resolution, muted tones, sharp focus, intricate textures"
a dragon in desert oasis,"(dragon:1.25) in desert oasis, Anime style, dramatic shadows, majestic scale, muted tones"
a monk in floating island,"(monk:1.25) in floating island, Photoreal style, ethereal atmosphere, hyper detailed, majestic scale, soft bokeh"
a samurai in deep forest,"(samurai:1.25) in deep forest, Minimalist style, vibrant colors, masterpiece quality, unreal engine 5, intricate textures"
a angel in stellar nebula,"(angel:1.25) in stellar nebula, Photoreal style, muted tones, sharp focus, 8k resolution"
a queen in space station,"(queen:1.25) in space station, Photoreal style, octane render, 8k resolution, volumetric lighting"
a forest spirit in floating island,"(forest spirit:1.25) in floating island, Photoreal style, unreal engine 5, masterpiece quality, octane render"
a scientist in space station,"(scientist:1.25) in space station, Cyberpunk style, ethereal atmosphere, vibrant colors, volumetric lighting"
a scientist in neon city,"(scientist:1.25) in neon city, Cyberpunk style, muted tones, sharp focus, intricate textures, ethereal atmosphere, ray traced"
a samurai in neon city,"(samurai:1.25) in neon city, Cyberpunk style, vibrant colors, unreal engine 5, ethereal atmosphere, 8k resolution"
a old man in deep forest,"(old man:1.25) in deep forest, Anime style, dramatic shadows, octane render, hyper detailed, soft bokeh"
a queen in frozen tundra,"(queen:1.25) in frozen tundra, Anime style, sharp focus, hyper detailed, 8k resolution"
a queen in frozen tundra,"(queen:1.25) in frozen tundra, Renaissance style, masterpiece quality, octane render, sharp focus, muted tones"
a warrior in underwater city,"(warrior:1.25) in underwater city, Dark Fantasy style, masterpiece quality, soft bokeh, dramatic shadows, volumetric lighting"
a nomad in underwater city,"(nomad:1.25) in underwater city, Vaporwave style, volumetric lighting, dramatic shadows, majestic scale"
a dragon in mars base,"(dragon:1.25) in mars base, Impressionist style, masterpiece quality, ray traced, unreal engine 5, hyper detailed, muted tones"
a nomad in volcano,"(nomad:1.25) in volcano, Steampunk style, masterpiece quality, sharp focus, vibrant colors, ethereal atmosphere, muted tones"
a monk in deep forest,"(monk:1.25) in deep forest, Steampunk style, muted tones, majestic scale, ethereal atmosphere, intricate textures, 8k resolution"
a monk in dreamscape,"(monk:1.25) in dreamscape, Minimalist style, masterpiece quality, intricate textures, dramatic shadows"
a demon in space station,"(demon:1.25) in space station, Cinematic style, octane render, dramatic shadows, soft bokeh"
a demon in stellar nebula,"(demon:1.25) in stellar nebula, Impressionist style, 8k resolution, vibrant colors, unreal engine 5, dramatic shadows"
a goddess in stellar nebula,"(goddess:1.25) in stellar nebula, Cinematic style, volumetric lighting, 8k resolution, masterpiece quality"
a robot in ancient ruins,"(robot:1.25) in ancient ruins, Photoreal style, vibrant colors, ethereal atmosphere, ray traced, volumetric lighting, intricate textures"
a nomad in dreamscape,"(nomad:1.25) in dreamscape, Cyberpunk style, dramatic shadows, 8k resolution, ray traced"
a warrior in space station,"(warrior:1.25) in space station, Cinematic style, ethereal atmosphere, unreal engine 5, 8k resolution, hyper detailed"
a robot in mars base,"(robot:1.25) in mars base, Steampunk style, volumetric lighting, hyper detailed, sharp focus, muted tones, intricate textures"
a demon in ancient ruins,"(demon:1.25) in ancient ruins, Steampunk style, 8k resolution, intricate textures, sharp focus, soft bokeh, masterpiece quality"
a astronaut in medieval village,"(astronaut:1.25) in medieval village, Minimalist style, muted tones, soft bokeh, intricate textures"
a forest spirit in mars base,"(forest spirit:1.25) in mars base, Dark Fantasy style, dramatic shadows, octane render, unreal engine 5, hyper detailed, masterpiece quality"
a monk in cybernetic lab,"(monk:1.25) in cybernetic lab, Minimalist style, unreal engine 5, masterpiece quality, vibrant colors, muted tones, sharp focus"
a robot in neon city,"(robot:1.25) in neon city, Cinematic style, volumetric lighting, vibrant colors, ethereal atmosphere"
a forest spirit in neon city,"(forest spirit:1.25) in neon city, Minimalist style, dramatic shadows, intricate textures, ray traced, majestic scale"
a explorer in mars base,"(explorer:1.25) in mars base, Vaporwave style, sharp focus, ethereal atmosphere, unreal engine 5"
a dragon in mountain temple,"(dragon:1.25) in mountain temple, Anime style, volumetric lighting, soft bokeh, octane render, vibrant colors"
a scientist in cybernetic lab,"(scientist:1.25) in cybernetic lab, Impressionist style, ethereal atmosphere, hyper detailed, intricate textures, majestic scale, masterpiece quality"
a queen in floating island,"(queen:1.25) in floating island, Dark Fantasy style, soft bokeh, sharp focus, octane render, vibrant colors"
a forest spirit in cybernetic lab,"(forest spirit:1.25) in cybernetic lab, Dark Fantasy style, masterpiece quality, 8k resolution, ethereal atmosphere"
a robot in dreamscape,"(robot:1.25) in dreamscape, Cinematic style, 8k resolution, hyper detailed, soft bokeh, dramatic shadows"
a scientist in floating island,"(scientist:1.25) in floating island, Photoreal style, soft bokeh, muted tones, masterpiece quality, vibrant colors"
a dragon in neon city,"(dragon:1.25) in neon city, Photoreal style, sharp focus, octane render, dramatic shadows, vibrant colors, soft bokeh"
a scientist in mountain temple,"(scientist:1.25) in mountain temple, Minimalist style, unreal engine 5, majestic scale, vibrant colors, hyper detailed"
a knight in stellar nebula,"(knight:1.25) in stellar nebula, Cinematic style, masterpiece quality, dramatic shadows, sharp focus, soft bokeh"
a cat in desert oasis,"(cat:1.25) in desert oasis, Cinematic style, hyper detailed, unreal engine 5, dramatic shadows"
a cyberpunk girl in deep forest,"(cyberpunk girl:1.25) in deep forest, Renaissance style, hyper detailed, ethereal atmosphere, vibrant colors"
a scientist in space station,"(scientist:1.25) in space station, Minimalist style, masterpiece quality, vibrant colors, volumetric lighting, unreal engine 5"
a demon in cybernetic lab,"(demon:1.25) in cybernetic lab, Anime style, soft bokeh, ethereal atmosphere, sharp focus"
a nomad in cybernetic lab,"(nomad:1.25) in cybernetic lab, Impressionist style, hyper detailed, 8k resolution, sharp focus, majestic scale, unreal engine 5"
a queen in mountain temple,"(queen:1.25) in mountain temple, Photoreal style, ethereal atmosphere, unreal engine 5, ray traced, masterpiece quality, 8k resolution"
a warrior in mars base,"(warrior:1.25) in mars base, Vaporwave style, 8k resolution, volumetric lighting, hyper detailed"
a scientist in floating island,"(scientist:1.25) in floating island, Minimalist style, masterpiece quality, muted tones, intricate textures, sharp focus"
